Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,7/15/19,ATM DEPOSIT,54,MISC_CREDIT, ,
DEBIT,7/15/19,MACYS  ,-53.49,MISC_DEBIT, ,
DEBIT,7/15/19,Tithes,-21.4,MISC_DEBIT, ,
DEBIT,7/15/19,Tithes,-21.4,MISC_DEBIT, ,
DEBIT,7/15/19,Groceries Brooklyn,-14.5,MISC_DEBIT, ,
DEBIT,7/15/19,Pizza,-7.08,MISC_DEBIT, ,
DEBIT,7/15/19,MTA Metro NY,-3,MISC_DEBIT, ,
DEBIT,7/15/19,MTA Metro NY,-12,MISC_DEBIT, ,
DEBIT,7/12/19,Acorns Investment,-5,ACH_DEBIT,201.96,
DEBIT,7/12/19,Acorns Investment,-10,ACH_DEBIT,206.96,
DEBIT,7/12/19,Groceries Brooklyn,-12.62,DEBIT_CARD,216.96,
DEBIT,7/12/19,Groceries Brooklyn,-2.98,DEBIT_CARD,229.58,
DEBIT,7/11/19,Books,-32.55,DEBIT_CARD,232.56,
DEBIT,7/10/19,Walgreens Groceries,-7.61,DEBIT_CARD,265.11,
DEBIT,7/9/19,Acorns Investment,-5.45,ACH_DEBIT,272.72,
DEBIT,7/8/19,CAPITAL ONE      ,-211.75,ACH_DEBIT,278.17,
DEBIT,7/8/19,CVS/PHARMACY,-11.42,DEBIT_CARD,489.92,
DEBIT,7/8/19,Walgreens Groceries,-7.48,DEBIT_CARD,501.34,
DEBIT,7/8/19,Walgreens Groceries,-3.69,DEBIT_CARD,508.82,
DEBIT,7/8/19,Fast Food MCF33302 MERRILLVILLE IN            07/06,-7.9,DEBIT_CARD,512.51,
DEBIT,7/8/19,SHOE CARNIVAL #0 2340 MERRILLVILLE IN739426  07/06,-80.24,DEBIT_CARD,520.41,
DEBIT,7/8/19,DSW CROSSINGS AT 2114 MERRILVILLE IN 914374  07/06,-21.39,DEBIT_CARD,600.65,
DEBIT,7/8/19,VILLAGE CLEANERS GARY IN     07/05,-25.8,DEBIT_CARD,622.04,
DEBIT,7/8/19,AMZN Mktp US*MH9KU5J Amzn.com/bill WA        07/06,-28.88,DEBIT_CARD,647.84,
CREDIT,7/8/19,QuickPay with Zelle payment from Amber Toussaint VSATAH60YQFR,15,PARTNERFI_TO_CHASE,676.72,
CREDIT,7/8/19,QuickPay with Zelle payment from KAREN L TYSON 8406749500,100,QUICKPAY_CREDIT,661.72,
DEBIT,7/5/19,NON-CHASE ATM FEE-WITH,-2.5,FEE_TRANSACTION,561.72,
DEBIT,7/5/19,Acorns Later     Transfer   NCCPHB          WEB ID: 9000142693,-5,ACH_DEBIT,564.22,
DEBIT,7/5/19,Acorns Investing Transfer   0D8KHB          WEB ID: 9000142693,-10,ACH_DEBIT,569.22,
DEBIT,7/5/19,GAS,-15,DEBIT_CARD,579.22,
DEBIT,7/5/19,Money Withdraw            365556  07/054605 BROA,-22.5,ATM,594.22,
DEBIT,7/5/19,VILLAGE CLEANERS GARY IN     07/03,-37.25,DEBIT_CARD,616.72,
CREDIT,7/5/19,GREENWOOD PROJEC PAYROLL    PPD ID: 1462800242,214.5,ACH_CREDIT,653.97,
DEBIT,7/3/19,CHIPOTLE 0240 CHICAGO IL     07/02,-9.87,DEBIT_CARD,439.47,
DEBIT,7/3/19,LITO`S EMPANADA CHICAGO IL   07/02,-8.57,DEBIT_CARD,449.34,
DEBIT,7/1/19,Subscription     Acorns     5VZWCB          WEB ID: 9000142693,-2,ACH_DEBIT,457.91,
DEBIT,7/1/19,Amazon Prime Amzn.com/bill WA06/30,-6.49,DEBIT_CARD,459.91,
DEBIT,7/1/19,CAPITAL ONE      MOBILE PMT 917939800511027 WEB ID: 9279744980,-25.7,ACH_DEBIT,466.4,
DEBIT,7/1/19,SQ *BARBERKINGS BARBE Merrillville IN        06/28,-20,DEBIT_CARD,492.1,
CREDIT,7/1/19,GREENWOOD PROJEC PAYROLL    PPD ID: 1462800242,225.5,ACH_CREDIT,512.1,
DEBIT,6/28/19,Acorns Later     Transfer   JN5JBB          WEB ID: 9000142693,-5,ACH_DEBIT,286.6,
DEBIT,6/28/19,Acorns Investing Transfer   STQHBB          WEB ID: 9000142693,-10,ACH_DEBIT,291.6,
CREDIT,6/28/19,Square Inc       * Cash App T200130993351   CCD ID: 8800429876,30,ACH_CREDIT,301.6,
CREDIT,6/27/19,Acorns Investing Transfer   PPD ID: 9000142693,9.96,ACH_CREDIT,271.6,
DEBIT,6/26/19,TARGET T-0870 2661 E MERRILLVILLE IN 526730  06/26,-11.27,DEBIT_CARD,261.64,
DEBIT,6/26/19,WALGREENS STORE 200 W CHICAGO IL     703942  06/26,-2.15,DEBIT_CARD,272.91,
DEBIT,6/26/19, LITO S EMPANADAS Fast Food ,-8.36,DEBIT_CARD,275.06,
DEBIT,6/26/19,SUBWAY        00003996 CHICAGO IL            06/25,-10.59,DEBIT_CARD,283.42,
CREDIT,6/26/19,Acorns Later     Transfer   PPD ID: 9000142693,15.33,ACH_CREDIT,294.01,
CREDIT,6/26/19,Acorns Investing Transfer   PPD ID: 9000142693,43.87,ACH_CREDIT,278.68,
DEBIT,6/24/19,Acorns Investing Transfer   6RSB8B          WEB ID: 9000142693,-10.3,ACH_DEBIT,234.81,
DEBIT,6/24/19,MEIJER 165 MERRILLVILLE IN           882006  06/24,-43.62,DEBIT_CARD,245.11,
DEBIT,6/24/19,Fiverr 855-5859699 NY        06/23,-12,DEBIT_CARD,288.73,
DEBIT,6/24/19,AMZN Mktp US*M60WP6U Amzn.com/bill WA        06/23,-19.99,DEBIT_CARD,300.73,
